skill,category,normalized_skill,resume_match_weight,aliases,skill_type,parent_skill
Azure,IT & Software,Azure,5,,hard,IT & Software
B.E,Domain-Specific / Other,B.E,5,,hard,Domain-Specific / Other
B.E.in Chemical,Domain-Specific / Other,B.E.In Chemical,5,,hard,Domain-Specific / Other
B.tech,IT & Software,B.Tech,5,,hard,IT & Software
B2B Sales,Sales & Marketing,B2B Sales,5,,hard,Sales & Marketing
ba,Domain-Specific / Other,Ba,5,,hard,Domain-Specific / Other
Back Office,Domain-Specific / Other,Back Office,5,,hard,Domain-Specific / Other
Back Office Payables,Finance & Accounts,Back Office Payables,5,,hard,Finance & Accounts
Backend Operation,IT & Software,Backend Operation,5,,hard,IT & Software
Balaji Garden,Domain-Specific / Other,Balaji Garden,5,,hard,Domain-Specific / Other
balance,Domain-Specific / Other,Balance,5,,hard,Domain-Specific / Other
balance confirmation letters,Domain-Specific / Other,Balance Confirmation Letters,5,,hard,Domain-Specific / Other
Balance sheet,Finance & Accounts,Balance Sheet,5,,hard,Finance & Accounts
Balance Sheet Accounts,Finance & Accounts,Balance Sheet Accounts,5,,hard,Finance & Accounts
balance sheet analysis,Finance & Accounts,Balance Sheet Analysis,5,,hard,Finance & Accounts
Balance Sheet Finalisation,Finance & Accounts,Balance Sheet Finalisation,5,,hard,Finance & Accounts
balance sheet finalization,Finance & Accounts,Balance Sheet Finalization,5,,hard,Finance & Accounts
Balance Sheet Management,Finance & Accounts,Balance Sheet Management,5,,hard,Finance & Accounts
Balance Sheet Preparation,Finance & Accounts,Balance Sheet Preparation,5,,hard,Finance & Accounts
Balance Sheet Reconciliation,Finance & Accounts,Balance Sheet Reconciliation,5,,hard,Finance & Accounts
Balance Sheet Review,Finance & Accounts,Balance Sheet Review,5,,hard,Finance & Accounts
Balance Sheet. Statutory Compliance work,Finance & Accounts,Balance Sheet. Statutory Compliance Work,5,,hard,Finance & Accounts
Balance Sheets,Finance & Accounts,Balance Sheets,5,,hard,Finance & Accounts
Balancesheet,Domain-Specific / Other,Balancesheet,5,,hard,Domain-Specific / Other
Bank,Domain-Specific / Other,Bank,5,,hard,Domain-Specific / Other
bank account reconciliation,Domain-Specific / Other,Bank Account Reconciliation,5,,hard,Domain-Specific / Other
Bank Accounting,Finance & Accounts,Bank Accounting,5,,hard,Finance & Accounts
BANK ACCOUNTS COMMERCIAL ROC OTHERS,Domain-Specific / Other,Bank Accounts Commercial Roc Others,5,,hard,Domain-Specific / Other
Bank audit,Finance & Accounts,Bank Audit,5,,hard,Finance & Accounts
Bank Audits,Finance & Accounts,Bank Audits,5,,hard,Finance & Accounts
bank book,Domain-Specific / Other,Bank Book,5,,hard,Domain-Specific / Other
Bank Charges,Domain-Specific / Other,Bank Charges,5,,hard,Domain-Specific / Other
bank co-ordination,Domain-Specific / Other,Bank Co-Ordination,5,,hard,Domain-Specific / Other
Bank Dealing,Domain-Specific / Other,Bank Dealing,5,,hard,Domain-Specific / Other
bank guarantee,Domain-Specific / Other,Bank Guarantee,5,,hard,Domain-Specific / Other
bank guarantee processing,Domain-Specific / Other,Bank Guarantee Processing,5,,hard,Domain-Specific / Other
Bank Guarantees,Domain-Specific / Other,Bank Guarantees,5,,hard,Domain-Specific / Other
Bank Limit,Domain-Specific / Other,Bank Limit,5,,hard,Domain-Specific / Other
Bank Position,Domain-Specific / Other,Bank Position,5,,hard,Domain-Specific / Other
bank Reco.,Domain-Specific / Other,Bank Reco.,5,,hard,Domain-Specific / Other
bank reconcilation,Domain-Specific / Other,Bank Reconcilation,5,,hard,Domain-Specific / Other
Bank Reconciliation,Domain-Specific / Other,Bank Reconciliation,5,,hard,Domain-Specific / Other
Bank Reconciliation Analyst,Domain-Specific / Other,Bank Reconciliation Analyst,5,,hard,Domain-Specific / Other
Bank Reconciliation Management Accounting,Finance & Accounts,Bank Reconciliation Management Accounting,5,,hard,Finance & Accounts
Bank Reconciliation Statement,Domain-Specific / Other,Bank Reconciliation Statement,5,,hard,Domain-Specific / Other
Bank Reconciliation TDS Return,Finance & Accounts,Bank Reconciliation Tds Return,5,,hard,Finance & Accounts
bank reconciliation.,Domain-Specific / Other,Bank Reconciliation.,5,,hard,Domain-Specific / Other
Bank Reconciliations,Domain-Specific / Other,Bank Reconciliations,5,,hard,Domain-Specific / Other
BANK RECONCILLATION,Domain-Specific / Other,Bank Reconcillation,5,,hard,Domain-Specific / Other
Bank Reconsilation,Domain-Specific / Other,Bank Reconsilation,5,,hard,Domain-Specific / Other
Bank recording,Domain-Specific / Other,Bank Recording,5,,hard,Domain-Specific / Other
Bank Statement Tally,Domain-Specific / Other,Bank Statement Tally,5,,hard,Domain-Specific / Other
Bank Transfer Account & SB Accounts,Domain-Specific / Other,Bank Transfer Account & Sb Accounts,5,,hard,Domain-Specific / Other
Bank Voucher,Domain-Specific / Other,Bank Voucher,5,,hard,Domain-Specific / Other
Bank voucher entry and preparation,Domain-Specific / Other,Bank Voucher Entry And Preparation,5,,hard,Domain-Specific / Other
Bank Work,Domain-Specific / Other,Bank Work,5,,hard,Domain-Specific / Other
Banking,Domain-Specific / Other,Banking,5,,hard,Domain-Specific / Other
banking & finance,Finance & Accounts,Banking & Finance,5,,hard,Finance & Accounts
Banking and Fixed Assets Accounting.,Finance & Accounts,Banking And Fixed Assets Accounting.,5,,hard,Finance & Accounts
Banking and Oversees Remittance,Domain-Specific / Other,Banking And Oversees Remittance,5,,hard,Domain-Specific / Other
Banking Management,Domain-Specific / Other,Banking Management,5,,hard,Domain-Specific / Other
Banking Operation,Domain-Specific / Other,Banking Operation,5,,hard,Domain-Specific / Other
Banking Operations,Domain-Specific / Other,Banking Operations,5,,hard,Domain-Specific / Other
banking process,Domain-Specific / Other,Banking Process,5,,hard,Domain-Specific / Other
Banking Sales,Sales & Marketing,Banking Sales,5,,hard,Sales & Marketing
BANKING WORKS,Domain-Specific / Other,Banking Works,5,,hard,Domain-Specific / Other
Bankreconciliation,Domain-Specific / Other,Bankreconciliation,5,,hard,Domain-Specific / Other
Barcode,Domain-Specific / Other,Barcode,5,,hard,Domain-Specific / Other
base line drift,Domain-Specific / Other,Base Line Drift,5,,hard,Domain-Specific / Other
base line noise,Domain-Specific / Other,Base Line Noise,5,,hard,Domain-Specific / Other
based on production order put the raw material request. ▪,Operations & Production,Based On Production Order Put The Raw Material Request. ▪,5,,hard,Operations & Production
Basic,Domain-Specific / Other,Basic,5,,hard,Domain-Specific / Other
basic 7 qc tools,Domain-Specific / Other,Basic 7 Qc Tools,5,,hard,Domain-Specific / Other
Basic accounting,Finance & Accounts,Basic Accounting,5,,hard,Finance & Accounts
basic accounting & finalization,Finance & Accounts,Basic Accounting & Finalization,5,,hard,Finance & Accounts
basic computer,Domain-Specific / Other,Basic Computer,5,,hard,Domain-Specific / Other
basic computer knowledge,Domain-Specific / Other,Basic Computer Knowledge,5,,hard,Domain-Specific / Other
Basic knowledge of computer,Domain-Specific / Other,Basic Knowledge Of Computer,5,,hard,Domain-Specific / Other
basis,Domain-Specific / Other,Basis,5,,hard,Domain-Specific / Other
batch charging,Domain-Specific / Other,Batch Charging,5,,hard,Domain-Specific / Other
Batch Management,Domain-Specific / Other,Batch Management,5,,hard,Domain-Specific / Other
Batch Manufacturing,Operations & Production,Batch Manufacturing,5,,hard,Operations & Production
Batch Manufacturing Production Supervising,Operations & Production,Batch Manufacturing Production Supervising,5,,hard,Operations & Production
Batch Planning,Domain-Specific / Other,Batch Planning,5,,hard,Domain-Specific / Other
Batch Processing,Domain-Specific / Other,Batch Processing,5,,hard,Domain-Specific / Other
Batch Production,Operations & Production,Batch Production,5,,hard,Operations & Production
batch production. Mass production. Manmangement production and planning control,Operations & Production,Batch Production. Mass Production. Manmangement Production And Planning Control,5,,hard,Operations & Production
Batch Scale-up,Domain-Specific / Other,Batch Scale-Up,5,,hard,Domain-Specific / Other
batch scheduling,Domain-Specific / Other,Batch Scheduling,5,,hard,Domain-Specific / Other
Batching Plant,Operations & Production,Batching Plant,5,,hard,Operations & Production
battery manufacturing company,Operations & Production,Battery Manufacturing Company,5,,hard,Operations & Production
Bcom,Domain-Specific / Other,Bcom,5,,hard,Domain-Specific / Other
Bcom Accounting,Finance & Accounts,Bcom Accounting,5,,hard,Finance & Accounts
BE Automobile,Domain-Specific / Other,Be Automobile,5,,hard,Domain-Specific / Other
BE CHEMICAL,Domain-Specific / Other,Be Chemical,5,,hard,Domain-Specific / Other
BE chemical Engineering,Operations & Production,Be Chemical Engineering,5,,hard,Operations & Production
BE( chemical engineer),Operations & Production,Be( Chemical Engineer),5,,hard,Operations & Production
Bead winding,Domain-Specific / Other,Bead Winding,5,,hard,Domain-Specific / Other
bearings,Domain-Specific / Other,Bearings,5,,hard,Domain-Specific / Other
Benchmarking,Domain-Specific / Other,Benchmarking,5,,hard,Domain-Specific / Other
bending,Domain-Specific / Other,Bending,5,,hard,Domain-Specific / Other
benefits administration,Domain-Specific / Other,Benefits Administration,5,,hard,Domain-Specific / Other
bengali,Domain-Specific / Other,Bengali,5,,hard,Domain-Specific / Other
besic exel,Domain-Specific / Other,Besic Exel,5,,hard,Domain-Specific / Other
best employee,HR & Recruitment,Best Employee,5,,hard,HR & Recruitment
best practices,Domain-Specific / Other,Best Practices,5,,hard,Domain-Specific / Other
Better human behavior Executive Production,Operations & Production,Better Human Behavior Executive Production,5,,hard,Operations & Production
Beverage,Domain-Specific / Other,Beverage,5,,hard,Domain-Specific / Other
BFD,Domain-Specific / Other,Bfd,5,,hard,Domain-Specific / Other
BGL 360,Domain-Specific / Other,Bgl 360,5,,hard,Domain-Specific / Other
bi (business and intelligence),Domain-Specific / Other,Bi (Business And Intelligence),5,,hard,Domain-Specific / Other
BIBO,Domain-Specific / Other,Bibo,5,,hard,Domain-Specific / Other
Big Data,IT & Software,Big Data,5,,hard,IT & Software
big data query,IT & Software,Big Data Query,5,,hard,IT & Software
bill passing,Domain-Specific / Other,Bill Passing,5,,hard,Domain-Specific / Other
Bill passing & booked in sap,Domain-Specific / Other,Bill Passing & Booked In Sap,5,,hard,Domain-Specific / Other
bill processing,Domain-Specific / Other,Bill Processing,5,,hard,Domain-Specific / Other
billing,Domain-Specific / Other,Billing,5,,hard,Domain-Specific / Other
billing & invoicing,Domain-Specific / Other,Billing & Invoicing,5,,hard,Domain-Specific / Other
billing and accounts receivable,Finance & Accounts,Billing And Accounts Receivable,5,,hard,Finance & Accounts
billing p,Domain-Specific / Other,Billing P,5,,hard,Domain-Specific / Other
bills analysis,Domain-Specific / Other,Bills Analysis,5,,hard,Domain-Specific / Other
Bills Payable,Finance & Accounts,Bills Payable,5,,hard,Finance & Accounts
Bills Receivable,Finance & Accounts,Bills Receivable,5,,hard,Finance & Accounts
Bio,Healthcare & Clinical,Bio,5,,hard,Healthcare & Clinical
bio and naturals,Healthcare & Clinical,Bio And Naturals,5,,hard,Healthcare & Clinical
Bio Chemist,Healthcare & Clinical,Bio Chemist,5,,hard,Healthcare & Clinical
Bio-assay,Healthcare & Clinical,Bio-Assay,5,,hard,Healthcare & Clinical
Biochemistry,Healthcare & Clinical,Biochemistry,5,,hard,Healthcare & Clinical
biology,Healthcare & Clinical,Biology,5,,hard,Healthcare & Clinical
Biotechnology,IT & Software,Biotechnology,5,,hard,IT & Software
Biw,Domain-Specific / Other,Biw,5,,hard,Domain-Specific / Other
Blackline,Domain-Specific / Other,Blackline,5,,hard,Domain-Specific / Other
Blackline reconciliation,Domain-Specific / Other,Blackline Reconciliation,5,,hard,Domain-Specific / Other
Blender,Domain-Specific / Other,Blender,5,,hard,Domain-Specific / Other
Blending,Domain-Specific / Other,Blending,5,,hard,Domain-Specific / Other
Blow Moulding,Domain-Specific / Other,Blow Moulding,5,,hard,Domain-Specific / Other
Blown Film,Domain-Specific / Other,Blown Film,5,,hard,Domain-Specific / Other
Bmr,Domain-Specific / Other,Bmr,5,,hard,Domain-Specific / Other
BMR BPR REVIEW,Domain-Specific / Other,Bmr Bpr Review,5,,hard,Domain-Specific / Other
Bmr Review,Domain-Specific / Other,Bmr Review,5,,hard,Domain-Specific / Other
BOBJ,Domain-Specific / Other,Bobj,5,,hard,Domain-Specific / Other
bom costing,Domain-Specific / Other,Bom Costing,5,,hard,Domain-Specific / Other
bom items,Domain-Specific / Other,Bom Items,5,,hard,Domain-Specific / Other
Bom Preparation,Domain-Specific / Other,Bom Preparation,5,,hard,Domain-Specific / Other
bom purchase,Domain-Specific / Other,Bom Purchase,5,,hard,Domain-Specific / Other
Bond. and Renwal of Lut certificate work,Certifications,Bond. And Renwal Of Lut Certificate Work,5,,hard,Certifications
Bond. Renewal of Lut certificate work,Certifications,Bond. Renewal Of Lut Certificate Work,5,,hard,Certifications
Bonus,Domain-Specific / Other,Bonus,5,,hard,Domain-Specific / Other
Book Closing,Domain-Specific / Other,Book Closing,5,,hard,Domain-Specific / Other
Book debt account,Domain-Specific / Other,Book Debt Account,5,,hard,Domain-Specific / Other
Book debt account. Opening of Foreign L,Domain-Specific / Other,Book Debt Account. Opening Of Foreign L,5,,hard,Domain-Specific / Other
Book Keeping,Domain-Specific / Other,Book Keeping,5,,hard,Domain-Specific / Other
Book keeping with Account Standard and Accounting policy.Return filling of VAT,Finance & Accounts,Book Keeping With Account Standard And Accounting Policy.Return Filling Of Vat,5,,hard,Finance & Accounts
booking,Domain-Specific / Other,Booking,5,,hard,Domain-Specific / Other
Bookkeeping,Domain-Specific / Other,Bookkeeping,5,,hard,Domain-Specific / Other
Bootstrap,Domain-Specific / Other,Bootstrap,5,,hard,Domain-Specific / Other
bopp projects,Domain-Specific / Other,Bopp Projects,5,,hard,Domain-Specific / Other
boppcoating,Domain-Specific / Other,Boppcoating,5,,hard,Domain-Specific / Other
bosch production system etc.,IT & Software,Bosch Production System Etc.,5,,hard,IT & Software
Bottle Line,Domain-Specific / Other,Bottle Line,5,,hard,Domain-Specific / Other
Bottling,Domain-Specific / Other,Bottling,5,,hard,Domain-Specific / Other
bottling operations,Domain-Specific / Other,Bottling Operations,5,,hard,Domain-Specific / Other
BP,Domain-Specific / Other,Bp,5,,hard,Domain-Specific / Other
Bpcs,Domain-Specific / Other,Bpcs,5,,hard,Domain-Specific / Other
BPO,Domain-Specific / Other,Bpo,5,,hard,Domain-Specific / Other
Bpo kpo,Domain-Specific / Other,Bpo Kpo,5,,hard,Domain-Specific / Other
BPO Training,Domain-Specific / Other,Bpo Training,5,,hard,Domain-Specific / Other
Bpr,Domain-Specific / Other,Bpr,5,,hard,Domain-Specific / Other
Bpr Review,Domain-Specific / Other,Bpr Review,5,,hard,Domain-Specific / Other
brainstorming,Domain-Specific / Other,Brainstorming,5,,hard,Domain-Specific / Other
branch,Domain-Specific / Other,Branch,5,,hard,Domain-Specific / Other
Branch A,Domain-Specific / Other,Branch A,5,,hard,Domain-Specific / Other
Branch Accounting,Finance & Accounts,Branch Accounting,5,,hard,Finance & Accounts
Branch Reconciliation,Domain-Specific / Other,Branch Reconciliation,5,,hard,Domain-Specific / Other
Brand,Sales & Marketing,Brand,5,,hard,Sales & Marketing
Brand Management,Sales & Marketing,Brand Management,5,,hard,Sales & Marketing
brand marketing,Sales & Marketing,Brand Marketing,5,,hard,Sales & Marketing
brand strategy,Sales & Marketing,Brand Strategy,5,,hard,Sales & Marketing
branding,Sales & Marketing,Branding,5,,hard,Sales & Marketing
BRC,Domain-Specific / Other,Brc,5,,hard,Domain-Specific / Other
BRCGs,Domain-Specific / Other,Brcgs,5,,hard,Domain-Specific / Other
break down and preventive maintenance review,Operations & Production,Break Down And Preventive Maintenance Review,5,,hard,Operations & Production
Breakdown,Domain-Specific / Other,Breakdown,5,,hard,Domain-Specific / Other
Breakdown Analysis,Domain-Specific / Other,Breakdown Analysis,5,,hard,Domain-Specific / Other
Breakdown Analysis Production Management,Operations & Production,Breakdown Analysis Production Management,5,,hard,Operations & Production
Breakdown Maintenance,Operations & Production,Breakdown Maintenance,5,,hard,Operations & Production
Breathing apparatus,IT & Software,Breathing Apparatus,5,,hard,IT & Software
Brewery,Domain-Specific / Other,Brewery,5,,hard,Domain-Specific / Other
brief of product USP,Domain-Specific / Other,Brief Of Product Usp,5,,hard,Domain-Specific / Other
broad peaks,Domain-Specific / Other,Broad Peaks,5,,hard,Domain-Specific / Other
Broking house,Domain-Specific / Other,Broking House,5,,hard,Domain-Specific / Other
Browserstack,Domain-Specific / Other,Browserstack,5,,hard,Domain-Specific / Other
BRS,Domain-Specific / Other,Brs,5,,hard,Domain-Specific / Other
Bsc,Domain-Specific / Other,Bsc,5,,hard,Domain-Specific / Other
BSS,Domain-Specific / Other,Bss,5,,hard,Domain-Specific / Other
Btech in food technology,IT & Software,Btech In Food Technology,5,,hard,IT & Software
budget,Finance & Accounts,Budget,5,,hard,Finance & Accounts
Budget Analysis,Finance & Accounts,Budget Analysis,5,,hard,Finance & Accounts
Budget Control,Finance & Accounts,Budget Control,5,,hard,Finance & Accounts
Budget Control & Expense Analysis,Finance & Accounts,Budget Control & Expense Analysis,5,,hard,Finance & Accounts
Budget Forecasting,Finance & Accounts,Budget Forecasting,5,,hard,Finance & Accounts
Budget Management,Finance & Accounts,Budget Management,5,,hard,Finance & Accounts
Budget Mgmt,Finance & Accounts,Budget Mgmt,5,,hard,Finance & Accounts
Budget Monitoring,Finance & Accounts,Budget Monitoring,5,,hard,Finance & Accounts
Budget planing & controlling in SAP,Finance & Accounts,Budget Planing & Controlling In Sap,5,,hard,Finance & Accounts
Budget Preparation,Finance & Accounts,Budget Preparation,5,,hard,Finance & Accounts
Budgetary Analysis,Finance & Accounts,Budgetary Analysis,5,,hard,Finance & Accounts
Budgetary Control,Finance & Accounts,Budgetary Control,5,,hard,Finance & Accounts
budgetary control International Accounting,Finance & Accounts,Budgetary Control International Accounting,5,,hard,Finance & Accounts
Budgeting,Finance & Accounts,Budgeting,5,,hard,Finance & Accounts
budgeting & aop,Finance & Accounts,Budgeting & Aop,5,,hard,Finance & Accounts
Budgeting & Forecast Reporting,Finance & Accounts,Budgeting & Forecast Reporting,5,,hard,Finance & Accounts
Budgeting & Forecasting,Finance & Accounts,Budgeting & Forecasting,5,,hard,Finance & Accounts
budgeting & forecasting reporting,Finance & Accounts,Budgeting & Forecasting Reporting,5,,hard,Finance & Accounts
Budgeting and cost control strategies,Finance & Accounts,Budgeting And Cost Control Strategies,5,,hard,Finance & Accounts
budgeting and forecasting,Finance & Accounts,Budgeting And Forecasting,5,,hard,Finance & Accounts
Budgeting and Taxation,Finance & Accounts,Budgeting And Taxation,5,,hard,Finance & Accounts
Budgeting Manager,Finance & Accounts,Budgeting Manager,5,,hard,Finance & Accounts
Budgeting Mgr,Finance & Accounts,Budgeting Mgr,5,,hard,Finance & Accounts
Budgeting production,Finance & Accounts,Budgeting Production,5,,hard,Finance & Accounts
Budgets,Finance & Accounts,Budgets,5,,hard,Finance & Accounts
Budgets & Budgeting,Finance & Accounts,Budgets & Budgeting,5,,hard,Finance & Accounts
Budgets & Budgeting > Annual Budget,Finance & Accounts,Budgets & Budgeting > Annual Budget,5,,hard,Finance & Accounts
Budgets & Budgeting > Budget Analysis,Finance & Accounts,Budgets & Budgeting > Budget Analysis,5,,hard,Finance & Accounts
Bug Fixes,Domain-Specific / Other,Bug Fixes,5,,hard,Domain-Specific / Other
bug life cycle,Domain-Specific / Other,Bug Life Cycle,5,,hard,Domain-Specific / Other
Bug Reporting,Domain-Specific / Other,Bug Reporting,5,,hard,Domain-Specific / Other
building management system,IT & Software,Building Management System,5,,hard,IT & Software
Building Material,Design Skills,Building Material,5,,hard,Design Skills
Building no. 3,Design Skills,Building No. 3,5,,hard,Design Skills
building social networks,IT & Software,Building Social Networks,5,,hard,IT & Software
Bulk,Domain-Specific / Other,Bulk,5,,hard,Domain-Specific / Other
Bulk Drug(API) production,IT & Software,Bulk Drug(Api) Production,5,,hard,IT & Software
BULK DRUGS,Domain-Specific / Other,Bulk Drugs,5,,hard,Domain-Specific / Other
bulk drugs manufacturing,Operations & Production,Bulk Drugs Manufacturing,5,,hard,Operations & Production
Bulk Packing,Domain-Specific / Other,Bulk Packing,5,,hard,Domain-Specific / Other
bulk sales,Sales & Marketing,Bulk Sales,5,,hard,Sales & Marketing
business,Domain-Specific / Other,Business,5,,hard,Domain-Specific / Other
Business Accounting,Finance & Accounts,Business Accounting,5,,hard,Finance & Accounts
Business Advisory,Operations & Production,Business Advisory,5,,hard,Operations & Production
Business Analysis,Domain-Specific / Other,Business Analysis,5,,hard,Domain-Specific / Other
business analyst,Domain-Specific / Other,Business Analyst,5,,hard,Domain-Specific / Other
Business Analytics,Domain-Specific / Other,Business Analytics,5,,hard,Domain-Specific / Other
Business Communication Skills,Soft Skills,Business Communication Skills,5,,soft,Soft Skills
Business Consulting,Domain-Specific / Other,Business Consulting,5,,hard,Domain-Specific / Other
business continuity,Design Skills,Business Continuity,5,,hard,Design Skills
business correspondence,Domain-Specific / Other,Business Correspondence,5,,hard,Domain-Specific / Other
business developement - banking software products,IT & Software,Business Developement - Banking Software Products,5,,hard,IT & Software
Business Development,Domain-Specific / Other,Business Development,5,,hard,Domain-Specific / Other
business development management,Domain-Specific / Other,Business Development Management,5,,hard,Domain-Specific / Other
business development manager,Domain-Specific / Other,Business Development Manager,5,,hard,Domain-Specific / Other
Business Excellence,Domain-Specific / Other,Business Excellence,5,,hard,Domain-Specific / Other
Business Finance,Finance & Accounts,Business Finance,5,,hard,Finance & Accounts
Business Finance Process Developer,IT & Software,Business Finance Process Developer,5,,hard,IT & Software
Business Growth,Domain-Specific / Other,Business Growth,5,,hard,Domain-Specific / Other
Business Intelligence,Domain-Specific / Other,Business Intelligence,5,,hard,Domain-Specific / Other
Business Loan,Domain-Specific / Other,Business Loan,5,,hard,Domain-Specific / Other
business planning,Domain-Specific / Other,Business Planning,5,,hard,Domain-Specific / Other
Business Process,Domain-Specific / Other,Business Process,5,,hard,Domain-Specific / Other
Business Process Improvement,Domain-Specific / Other,Business Process Improvement,5,,hard,Domain-Specific / Other
Business Requirement Analysis,Design Skills,Business Requirement Analysis,5,,hard,Design Skills
Business Research,Domain-Specific / Other,Business Research,5,,hard,Domain-Specific / Other
business services,Domain-Specific / Other,Business Services,5,,hard,Domain-Specific / Other
business standards,Domain-Specific / Other,Business Standards,5,,hard,Domain-Specific / Other
business strategy,Domain-Specific / Other,Business Strategy,5,,hard,Domain-Specific / Other
Business Studies,Domain-Specific / Other,Business Studies,5,,hard,Domain-Specific / Other
business transformation,Domain-Specific / Other,Business Transformation,5,,hard,Domain-Specific / Other
Busy,Domain-Specific / Other,Busy,5,,hard,Domain-Specific / Other
busy-business accounting software,IT & Software,Busy-Business Accounting Software,5,,hard,IT & Software
Buyer Activities,Domain-Specific / Other,Buyer Activities,5,,hard,Domain-Specific / Other
Buyer's credit,Domain-Specific / Other,Buyer'S Credit,5,,hard,Domain-Specific / Other
c,Domain-Specific / Other,C,5,,hard,Domain-Specific / Other
c & Finance Manager in preparations of CMA data,IT & Software,C & Finance Manager In Preparations Of Cma Data,5,,hard,IT & Software
C & Inland L,Domain-Specific / Other,C & Inland L,5,,hard,Domain-Specific / Other
C amendment,Domain-Specific / Other,C Amendment,5,,hard,Domain-Specific / Other
c and in preparations of Tax Audit Report (3CD & 3CA,IT & Software,C And In Preparations Of Tax Audit Report (3Cd & 3Ca,5,,hard,IT & Software
c and limit Adhoc when needed for cash credit account,IT & Software,C And Limit Adhoc When Needed For Cash Credit Account,5,,hard,IT & Software
c and limit Adhoc when needed for working capital of cash credit,IT & Software,C And Limit Adhoc When Needed For Working Capital Of Cash Credit,5,,hard,IT & Software
C Maintenance,Operations & Production,C Maintenance,5,,hard,Operations & Production
C payment arrangement. Maintaining L,Domain-Specific / Other,C Payment Arrangement. Maintaining L,5,,hard,Domain-Specific / Other
C payment arrangement. Proof of Exports file prepared & submission to Excise department of Rebate Claim,Design Skills,C Payment Arrangement. Proof Of Exports File Prepared & Submission To Excise Department Of Rebate Claim,5,,hard,Design Skills
C register,Domain-Specific / Other,C Register,5,,hard,Domain-Specific / Other
C Trouble Shooting,Domain-Specific / Other,C Trouble Shooting,5,,hard,Domain-Specific / Other
C&apos,Domain-Specific / Other,C&Apos,5,,hard,Domain-Specific / Other
C.A. Qualified as Chartered Accountant in May 2003 Born on 20 September,Design Skills,C.A. Qualified As Chartered Accountant In May 2003 Born On 20 September,5,,hard,Design Skills
C++,IT & Software,C++,5,,hard,IT & Software
CA,Domain-Specific / Other,Ca,5,,hard,Domain-Specific / Other
Ca Inter,Domain-Specific / Other,Ca Inter,5,,hard,Domain-Specific / Other
Ca Intern,Domain-Specific / Other,Ca Intern,5,,hard,Domain-Specific / Other
Ca Office,Domain-Specific / Other,Ca Office,5,,hard,Domain-Specific / Other
Cable Manufacturing,Operations & Production,Cable Manufacturing,5,,hard,Operations & Production
Cables,Domain-Specific / Other,Cables,5,,hard,Domain-Specific / Other
CAD,Domain-Specific / Other,Cad,5,,hard,Domain-Specific / Other
CakePHP,Domain-Specific / Other,Cakephp,5,,hard,Domain-Specific / Other
calculation,Domain-Specific / Other,Calculation,5,,hard,Domain-Specific / Other
calculation of corporate taxes,Finance & Accounts,Calculation Of Corporate Taxes,5,,hard,Finance & Accounts
Caliber,Domain-Specific / Other,Caliber,5,,hard,Domain-Specific / Other
Caliber LIMS,Domain-Specific / Other,Caliber Lims,5,,hard,Domain-Specific / Other
Caliberation,Domain-Specific / Other,Caliberation,5,,hard,Domain-Specific / Other
Calibration,Domain-Specific / Other,Calibration,5,,hard,Domain-Specific / Other
Calibration & Validation process,Domain-Specific / Other,Calibration & Validation Process,5,,hard,Domain-Specific / Other
calibration hplc gc,Domain-Specific / Other,Calibration Hplc Gc,5,,hard,Domain-Specific / Other
calibration protocol,Domain-Specific / Other,Calibration Protocol,5,,hard,Domain-Specific / Other
Call Center,Domain-Specific / Other,Call Center,5,,hard,Domain-Specific / Other
cam,Domain-Specific / Other,Cam,5,,hard,Domain-Specific / Other
campaign,Sales & Marketing,Campaign,5,,hard,Sales & Marketing
campaign management,Sales & Marketing,Campaign Management,5,,hard,Sales & Marketing
Can handle finalisation of accounts,Domain-Specific / Other,Can Handle Finalisation Of Accounts,5,,hard,Domain-Specific / Other
can handle the production of SX-EW copper,Operations & Production,Can Handle The Production Of Sx-Ew Copper,5,,hard,Operations & Production
can operate spin flash dryer,Domain-Specific / Other,Can Operate Spin Flash Dryer,5,,hard,Domain-Specific / Other
CAPA,Domain-Specific / Other,Capa,5,,hard,Domain-Specific / Other
CAPA & change control,Domain-Specific / Other,Capa & Change Control,5,,hard,Domain-Specific / Other
capacity,Domain-Specific / Other,Capacity,5,,hard,Domain-Specific / Other
Capacity Analysis,Domain-Specific / Other,Capacity Analysis,5,,hard,Domain-Specific / Other
Capacity Building,Design Skills,Capacity Building,5,,hard,Design Skills
Capacity Calculation,Domain-Specific / Other,Capacity Calculation,5,,hard,Domain-Specific / Other
Capacity enhancement,Domain-Specific / Other,Capacity Enhancement,5,,hard,Domain-Specific / Other
capacity expansion,Domain-Specific / Other,Capacity Expansion,5,,hard,Domain-Specific / Other
Capacity Management,Domain-Specific / Other,Capacity Management,5,,hard,Domain-Specific / Other
capacity planning,Domain-Specific / Other,Capacity Planning,5,,hard,Domain-Specific / Other
Capacity Utilization,Domain-Specific / Other,Capacity Utilization,5,,hard,Domain-Specific / Other
Capex,Domain-Specific / Other,Capex,5,,hard,Domain-Specific / Other
capex accounting,Finance & Accounts,Capex Accounting,5,,hard,Finance & Accounts
Capex Control,Domain-Specific / Other,Capex Control,5,,hard,Domain-Specific / Other
Capex Planning,Domain-Specific / Other,Capex Planning,5,,hard,Domain-Specific / Other
Capex tracking,Domain-Specific / Other,Capex Tracking,5,,hard,Domain-Specific / Other
