person_id,institution,program,start_date,location
10942,Austin Community College,Certificate in Business,,
10942,Hallmark University,Architecture and Configuration,,"San Antonio, TX"
10943,Montana State University College of Technology,Associates in Computer Desktop and Networking Support,2006,
10945,Wright State University,B.S. in Management Information Systems,1991/09,"Fairborn, OH"
10946,St. Petersburg College,A.A. in Engineering,,"Clearwater, FL"
10946,St. Petersburg College,C.C.N.A.,,
10946,Techsherpas Training Center,Bachelor's in Computer Science,,
10947,DeVry University,BS in Computer Information Systems in Information Systems Security,10/2013,"Chicago, IL"
10947,REDI Training Center/Freight Conductor Training School,Freight Conductor Training,07/2014,"Atlanta, GA"
10947,"Meteorcomm, LLC",220 MHz Radio Training,04/2016,"Renton, WA"
10948,Kaplan University,Bachelor's Degree in Security,10/2013,June 2015
10948,Kaplan University,Associate's Degree,04/2013,December 2013
10950,Old Dominion University,Bachelor of Science in Business Administration in Accounting in National Honorary Accounting Fraternity Audit and Tax,,
10951,SAINT MARY'S COLLEGE OF CALIFORNIA,B.S. in PSYCHOLOGY,05/12,May 2012
10952,University Texas Rio Grande Valley,BBA in Information Technology,,
10953,North Eastern Federal University of Russian Federation,Bachelor in Computer Science,1992/09,Russian Federation
10954,Empire State College,BS in Information Technology,,
10955,High school or equivalent,,,
10956,University of New Mexico,,,"Albuquerque, NM"
10956,University of Melbourne E-College,Masters of Business Administration in Business Administration,,
10956,University of Melbourne E-College,Masters of Management Information Technology in Management Information Technology,,
10956,University of New Mexico,BA in English/Speech Communications,,
10957,University of Arizona,B.S. in Communications,1999,"Tempe, AZ"
10958,University of North Carolina at Charlotte,Graduate Certificate in Information Security and Privacy,05/2007,"Charlotte, NC"
10958,North Carolina State University,M.S. in Computer Networking and Privacy,05/2003,"Raleigh, NC"
10958,"Fuqua School of Business, Duke University",Master's degree in Electrical Engineering,05/1996,"Durham, NC"
10958,Villanova University,Bachelor of Electrical Engineering,1984,"Villanova, PA"
10959,Harlaxton College,B.A. in History,Present,
10959,Kentucky Wesleyan College,,05/00,
10959,Sullivan University,,,
10960,University of Phoenix,AS degree,,
10960,Kaplan University,Diploma,,
10960,University of Technology - Sarajevo,BA,,
10961,Pamantasan ng Lungsod ng Maynila *University of the City of Manila*,Associate in Computer Science,01/1985,Maynila
10961,University of the East,Bachelor of Science in Accounting,01/1991,
10961,Foothill College,Oracle Classes,01/2001,
10962,Florida State College at Jacksonville,A.A.S. in Computer Science,08/20,"Jacksonville, FL"
10963,Hamilton College,Certificate in Network Administration/MCSE,09/1987,"Mason City, IA"
10964,UNIVERSITY OF TEXAS AT ARLINGTON,Bachelor of Science degree in Information Systems & Finance,,"Arlington, TX"
10964,AMBERTON UNIVERSITY,MBA,,"Dallas, TX"
10965,Syracuse University,Master's in Business Administration in Management,06/00,"Syracuse, NY"
10965,Army Staff College,Master's in Military Arts & Science in General Studies,06/99,"Fort Leavenworth, KS"
10965,St Mary's University,Bachelor's in Business Administration in Finance & Management,,"San Antonio, TX"
10966,Northern Virginia Community College,Workflow & Information Management Redesign,07/11,
10966,Villanova University,,01/09,
10966,"Ghana Law School - Accra, GH",Law,06/84,"Accra, GH"
10966,"University of Ghana - Accra, GH",B.A. in Legal Studies,06/82,"Accra, GH"
10967,Splunk Education Center,,2017/01,
10967,A Learning Tree,,2017/01,
10967,INFOSEC INSTITUTE,,2015/01,
10967,Promark Training Center,,2005/05,
10967,Training Computer Institute,,2000/08,
10967,Cisco Training Computer Institute,,1998/08,
10967,Learning Tree,,1995/03,
10968,New York Institute of Technology,BA in Computer Science and Communications,,
10969,Franklin University,Bachelor of Science in Electronics Engineering Technology,,"Columbus, OH"
10969,Prince George's Community College,Certificate,,"Largo, MD"
10970,Gateway Community College,,,
10970,College of Lake County,,,
10970,Waukegan High School,Diploma,,
10971,Wake Technical Community College,Course of Education,,"Varina, NC, US"
10971,Briarcliffe College,Course of Education,,"Bethpage, NY"
10971,Nassau Community College,Course of Education,,"Garden City, NY"
10972,University of Phoenix,Bachelors of Science in Computer Information Systems,09/02,"Phoenix, AZ"
10972,Business Skills Institute,Diploma in Network Operations,09/00,"El Paso, TX"
10973,ITT Technical Institute,Associate of Applied Science in Information Systems Security,09/13,"San Diego, CA"
10973,ITT Technical Institute,Bachelor of Science in Information Systems and Cybersecurity,09/15,"San Diego, CA"
10975,American Public University,Certification in Forensic Science,2012,
10975,Tiffin University,B.S. in Business Management,1998,
10976,George Mason University,MS in Information Systems,1999,"Fairfax, VA"
10976,Georgetown University,BS in Finance and International Management,1990,"Washington, DC"
10978,Bowie State University,Bachelor of Science in Information Systems,08/07,"Bowie, MD"
10979,M.D Windsor University School of Medicine,,05/10,
10980,Virginia Commonwealth University,"M.S., Social in Social Work",,
10980,George Mason University,B.S. in Social Work,,
10981,Pennsylvania College of Technology,Bachelor of Science in Business Administration,08/12,"Williamsport, PA"
10982,Florida Institute of Technology,Masters of Business Administration in Information Technology Management,09/13,"Melbourne, FL"
10982,University of Memphis,Bachelor of Arts in Criminology & Criminal Justice,09/08,"Memphis, TN"
10983,University of Mount Union,Bachelor of Science in Communications,,
10984,University of Maryland University College,Project Management Certification,04/20,"College Park, MD"
10984,Grand Canyon University,Master of Science in Health Informatics,05/17,"Phoenix, AZ"
10984,Eastern Michigan University,Bachelor of Science in Health Administration,12/14,"Ypsilanti, MI"
10985,University of Arizona,Master of Science in Management Information Systems in Business Intelligence,05/15,"Tucson, AZ"
10985,University of Arizona,Bachelor of Science in Management Information Systems in Management Information Systems,05/14,"Tucson, AZ"
10986,Hampton University,Bachelor of Science in Business Management,2013,"Hampton, VA"
10988,University of MD Baltimore County,Bachelors of Science in Psychology,2012,"Baltimore, MD"
10988,Montgomery College,Associates of Arts in General Studies,2008,"Germantown, MD"
10989,Bowie State University,Electronic Technology,09/90,1990 to 1992
10989,Cleveland Institute of Technology,Electronic Technology,09/83,1983 to 1985
10990,University of Buea,"Bachelor's in Medical Technology (Major), Information Technology (Minor)",,
10990,"Fort Jackson, SC",Diploma in Basic Combat Training Course,2015/2015,"Fort Jackson, SC"
10991,Henry Ford College,Associate of Applied Science in Information Assurance,05/16,
10992,JNTU,Bachelor's Degree in the Electrical & Electronics Engineering,2013,Electrical & Electronics Engineering
10993,Strayer University,B.A. in Information Systems/Business Management,05/18,"Suitland, MD"
10994,Oginigba Comprehensive Secondary School,National Diploma in ND,2014,Rivers State Polytechnic Bori
10994,St. Pius X College Bodo,,2007,
10994,Community Primary School 1 Bomu,,2003,
10995,University of Ghana,Bachelor of Science in information technology,2014,Ghana
10996,Grand Canyon University,Bachelor of Science in Business Information Systems,04/19,"Phoenix, AZ"
10997,FIU The Chapman Graduate School of Business,MSIS,2017/,Miami
10997,The SANS Institute,Master of Science in Information Systems,05/2017,"Atlanta, GA"
10997,Florida International University,Information Sciences and Technology,2009/,Miami
10998,MONTCLAIR STATE UNIVERSITY,Computer Science,,
10998,LONDON SCHOOL OF BUSINESS AND COMPUTING,Business Administration,,London
10998,JNTU,Bachelors in Computer Science and Information and Technology,,
10999,Anglia Ruskin University,M.B.A in Business Administration,,
10999,Kwame Nkrumah University of Science and Technology,B.S. in Computer Science,,
11000,University of Phoenix,Bachelors of Science in Business in Business/ Information Systems,05/11,
11000,"Gibbs College - Vienna, VA",Associates in Visual Communications in Visual Communications,05/03,"Vienna, VA"
11001,University of Phoenix,Bachelors of Science in Business in Business/ Information Systems,05/11,"Washington, DC"
11001,"Gibbs College - Vienna, VA",Associates in Visual Communications in Visual Communications,05/03,"Vienna, VA"
11002,University of Maryland University College,Master in Cybersecurity Management and Policy,Present,"Adelphi, MD"
11002,Lagos State University,BA in International Relations,2009,"Lagos, NG"
11003,Southern New Hampshire University,Master of Information Technology in Information Technology,,
11003,"Assumption University - Bangkok, TH",Bachelor of Business Computer in Business,,"Bangkok, TH"
11004,Augsburg College,B.A in Computer Science,09/12,September 2012 to May 2017
11005,Champlain College,B.S. in Computer Forensics and Digital Investigations,01/17,
11006,MONTCLAIR STATE UNIVERSITY,Computer Science,09/2014,
11006,LONDON SCHOOL OF BUSINESS AND COMPUTING,Business Administration,11/2008,London
11006,JNTU,Bachelors in Computer Science and Information and Technology,09/2003,
11007,Strayer University,Bachelor of Science in Information Technology,12/15,"Huntsville, AL"
11007,Palm Beach State College,Associate in Science in Computer Programming,12/13,"Lake Worth, FL"
11008,DePaul University,Bachelors in Information Technology/Information Assurance and Security Engineering,2016,"Chicago, IL"
11009,PRISM K.J.Somaiya Institute of Management Studies and Research,Bachelor's in Electronics and Communication Engineering,2006/09,
11009,"Biju Patnaik University of Technology - Brahmapur, Orissa",,2002/05,"Brahmapur, Orissa"
11010,University of Maryland College Park,MEng in Cybersecurity,05/19,"College Park, MD"
11010,Anna University (Meenakshi Sundararajan Engineering College),BE in Electronics and Communication Engineering,04/12,"Chennai, Tamil Nadu"
11011,SANS Technology Institute,diploma,2016/01,
11011,University of Maryland College Park,Bachelor's degree in Informatics,2014/01,"College Park, MD"
11011,Universidad Autónoma de Aguascalientes,,2001/01,
11012,George Mason University,Master of Science in Cyber Security,01/16,
11012,George Mason University,Bachelor of Science in Information Security,01/10,
11013,DeVry University,Bachelor's in Computer and Information Systems Security,,"San Diego, CA"
11014,ITT Technical Institute-Omaha,Associate in CNST,03/99,Omaha
11015,University of North Carolina at Pembroke,Bachelors of Science in Exercise Sport Science,12/16,"Pembroke, NC"
11016,Northeastern University,Master of Science in Information Assurance,12/16,"Boston, MA"
11016,University of Mumbai,Bachelor of Engineering in Computer Engineering,06/12,"Mumbai, Maharashtra"
11017,Marymount University,Bachelor of Science in Information Technology,,
11018,CENTURY COLLEGE,ASSOCIATE OF SCIENCE in CYBERSECURITY,2016,"White Bear Lake, MN"
11018,ST. CLOUD STATE UNIVERSITY,BACHELOR OF ARTS in POLITICAL SCIENCE,2012,"Saint Cloud, MN"
11019,"THE GEORGE WASHINGTON UNIVERSITY, School of Business",Bachelor of Business Administration in Information Systems,05/15,"Washington, DC"
11020,New York City College of Technology,Bachelor's in Computer Information Systems,08/15,"Brooklyn, NY"
11021,New Jersey Institute of Technology,Master of Science,12/12,"Newark, NJ"
11022,George Mason University,Master of Science in Cyber Security,01/2016,
11022,George Mason University,Bachelor of Science in Information Technology,01/2010,
11023,Community College of Alleghany County,,08/10,"Pittsburgh, PA"
11024,Southern Illinois University,Actuarial Science,08/13,"Waterloo, IL"
11024,University of Illinois at Urbana - Urbana-Champaign,B.S. in Atmospheric Sciences,08/08,"Urbana-Champaign, IL"
11025,Georgia State University,Masters of Science in Information Systems,08/2016,"Atlanta, GA"
11025,Mody Institute Of Science and Technology,Bachelor of Technology in Electronics & Communications,07/2009,"Jaipur, Rajasthan"
11026,MONTCLAIR STATE UNIVERSITY,Masters in Computer Science,09/2014,
11026,LONDON SCHOOL OF BUSINESS AND COMPUTING,Diploma in Business Administration,11/2008,"London, UK"
11026,JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,Bachelors in Computer Science and Information and Technology,09/2003,
11027,ITT Technical Institute,,06/06,"Greenfield, WI"
11028,BRIGHAM YOUNG UNIVERSITY,B.S. IN COMPUTER INFORMATION T ECHNOLOGY in Computer Networking and Security,2013,"Rexburg, ID"
11029,Utah Valley University,Bachelor of Science in Information Technology,12/17,"Provo, UT"
11030,Cincinnati State Technical & Community College,A.A.,12/16,"Cincinnati, OH"
11030,Shaker Heights HS,Diploma,,"Cleveland, OH"
11031,DEVRY UNIVERSITY,Computer Engineering,11/2013,"Arlington, VA"
11032,DeVry University,Bachelor of Science in Computer Information Systems in Computer Forensics,05/14,"Paramus, NJ"
11033,Osmania University,M.Sc in Computer Science,,
11035,UNIVERSITY OF PHOENIX,Master of Information Systems in Information Systems,2020,
11035,UNIVERSITY OF PHOENIX,Bachelor of Science in Information Security,,
11035,SOUTHWESTERN CHRISTIAN COLLEGE,Certification,,
11036,Colorado Technical University,Master of Science in Information Technology,2018,"Colorado Springs, CO"
11036,ECPI Technical Institute,Bachelors of Science in Security & Network Management,2013,"North Charleston, SC"
11036,ECPI Technical Institute,Associate of Science in Security & Network Management,2010,"Virginia Beach, VA"
11036,Community College of the Air Force,Associates of Science in Aviation Maintenance Technology,2010,"Maxwell-Gunter AFB, AL"
11037,Strayer University,Bachelor's in Computer Science,01/2005,"Takoma Park, MD"
11037,University of Maryland University College (UMUC),Master of Science in Cybersecurity,,
11038,Jackson State University,Bachelor's Degree in Information Technology Network Administration,09/2010,"Jackson, MS"
11038,American InterContinental University,Master's Degree in I.T. Project Management,09/2009,"Schaumburg, IL"
11038,Jackson State University,Ph.D. in Higher Urban Education,09/2016,"Jackson, MS"
11039,Northwest Vista College,Associates in Cyber Security & Information Assurance,08/18,"San Antonio, TX"
11040,Colorado Technical University,Master of Science in Management in Information Sys Security,05/10,"Colorado Springs, CO"
11040,Virginia Commonwealth University,Bachelor of Science in Business in Information Systems,05/06,"Richmond, VA"
11041,"ITT Technical Institute - Norwood, OH",,09/97,"Norwood, OH"
11042,Florida Technical College,Associates of Science in Networking Administration Hardware,,"Jacksonville, FL"
11043,ITT TECHNICAL INSTITUTE OF TECHNOLOGY,B.S. in Cybersecurity in Information Systems,09/15,
11044,DeSales University,"BS in Business Administration, Marketing",09/98,"Center Valley, PA"
11045,Heald Institute of Technology,Electronics,1993,"Martinez, CA"
11045,Universidad Nueva San Salvador,Business Administration,1987,
11046,Mississippi State University,Mechanical Engineering,,"Starkville, MS"
11046,Wingfield High School,,,"Jackson, MS"
11047,Tulane University,Bachelor's in Computer Information Systems,09/98,"New Orleans, LA"
11047,University of Tulsa,Bachelor's in Management Information Systems and Accounting,09/94,"Tulsa, OK"
11048,"University of California - Los Angeles, CA",Bachelor of Arts degree in Economics,1984,"Los Angeles, CA"
11049,Vrije Universiteit (Free University of Brussels),Masters of Science,09/2010,"Brussels, BE"
11049,University of Buea,Bachelors of Science,10/2003,
11050,North Carolina State University,Bachelor of Arts in Psychology,,"Raleigh, NC"
11050,Pennsylvania State University,,,"Middletown, PA"
11050,Computer Learning Center,Diploma in Computer Science/Programming,,"Philadelphia, PA"
11051,Penn State University,,,"University Park, PA"
11051,Lock Haven University,,,"Lock Haven, PA"
11051,Lock Haven High School,,,"Lock Haven, PA"
11052,Renton Technical College,AAS in Computer Science,09/97,"Renton, WA"
11053,Stevens Institute of Technology,Masters of Technology Management in Technology Management,,
11053,Kean University,BS in Computer Science,,
11053,George Washington University,Masters Certificate in Project Management,,
11053,Villanova University,Masters Certificate in Lean Six Sigma Master Black Belt,,
11053,Villanova University,Masters Certificate in Six Sigma,,
11054,Universidad Autónoma de Nuevo León,,,"Fort Lauderdale, FL"
11055,Blue Ridge Community College,"Associates in IT, Network Support",,
11056,The Florida State University,Bachelor of Science in International Affairs,09/1989,"Tallahassee, FL"
11056,State University of New York (SUNY) at Albany,,09/1987,"Albany, NY"
11057,LaSalle University,MBA in MIS,09/90,"Philadelphia, PA"
11057,Ursinus College,BBA in Computer science,,"Collegeville, PA"
11057,Montgomery County Community College,AAS in Business Management,,"Blue Bell, PA"
11057,Faith Theological Seminary,M. Divinity,,"Elkins Park, PA"
11057,Berkshire Christian College,BA in Theology,,"Lenox, MA"
11058,West Charlotte Senior High School,Certificate in Medical Claims and Billing Specialist,,"Charlotte, NC"
11059,Montgomery College,B.S. in Political Science,08/17,"Rockville, MD"
11059,Frostburg State University,B.S. in Criminal Law,,"Frostburg, MD"
11060,Strayer University,Bachelor of Business Administration in Management Information Systems,01/13,"Fredericksburg, VA"
11060,Naval Post Graduate School NPS,Master's Certificate in Secure System Development Lifecycle,02/05,"Monterey, CA"
11060,Naval Post Graduate School,,03/04,
11061,Colorado State University,Bachelor's in Construction Management,08/19,
11061,American Public University,Associate in Business Administration,2014,
11062,Strayer University,MS in Information Assurance,2015/09,Woodbridge VA
11062,Strayer University,MS Management in Project Management,2011/09,Woodbridge VA
11062,Strayer University,BS in Computer Information Systems,2005/09,Woodbridge VA
11062,Strayer College,Diploma in Computer Information Systems,1992/09,Manassas
11063,Open University,,06/2012,
11064,Three Rivers Community Technical College,,,Norwich Naval Submarine Base School
11065,Full Sail University,Bachelor of Science in Hardware,2016,
11065,University of Maryland,,2008,
11065,James Hubert Blake High School,,2003,
11066,Western Governors University,B.S. in Information Technology in Network Design & Management,2009,
11067,Franklin University,Bachelor of Science in Information Technology,N/A,"Columbus, OH"
11067,Zane State College,Associate of Applied Science in Electrical/Electronic Engineering Technology,N/A,"Zanesville, OH"
11068,ITT Technical Institute,Bachelor of Science in Information Systems Cybersecurity in Information Systems Cybersecurity,12/15,
11068,ITT Technical Institute,A.A.S. in Network System Administration in Network System Administration,09/13,
11068,"University of Tennessee - Knoxville, TN",Bachelor of Arts,05/02,"Knoxville, TN"
11069,Ivy Tech Community College,Associate of Applied Science (AAS) in Information System Security,05/14,"Columbus, IN"
11070,San Jose State University,Bachelor of Arts in Computers,2001,"San Jose, CA"
11071,University of Bedfordshire,Masters in Applied Computing and Information Technology,09/2006,"Germantown, MD"
11072,Shaw University,Bachelor of Science in Computer Information Systems,,"Raleigh, NC"
11073,Keller Graduate School of Management,Master of Business Administration in Business Administration,2010,
11073,Georgia Southern University,Bachelor of Business Administration in Business Administration,2003,
11074,ITT Technical Institute,Bachelor's in Information Systems Security,09/2008,
11074,Mount Vernon High School,High Graduate,06/1998,
11075,DeVry Institute of Technology,Bachelor of Science in Electronics Engineering Technology,09/85,"Chicago, IL"
11076,WGU,BS in Information Technology Security,2020,
11076,NOVA,Associate in Computer Science,2012,
11076,PennState University,Associate in Aeronautical Engineering,2000,
11077,,,,
11078,Western Institute for Social Research,MA in Counseling Psychology,,
11078,"University of North Carolina - Chapel Hill, NC",BA in Political Science/International Studies,,
11079,"Georgia State University, J. Mack Robinson College of Business",MBA in Information Security and Accounting Systems,05/16,"Atlanta, GA"
11079,"Georgia State University, J. Mack Robinson College of Business",Bachelor of Business Administration in Computer Information Systems and Information Security,05/13,"Atlanta, GA"
11080,Education Center,AA in Computer Programming/Data Processing,1998/01,"Irvine, CA"
11080,Cerritos College,Certificate in Sciences,1986/01,"Norwalk, CA"
11080,Cypress College,,1984/01,"Cypress, CA"
11081,University of Phoenix,Computer Information Systems Management,09/2002,
11081,Prince Georges Community College,Computer Information Systems,09/1989,
11082,University of North Dakota,M.S. in Economics,05/21,
11082,The George Washington University,M.B.A. in International Finance,05/07,
11082,North Carolina Wesleyan College,B.S. in Computer Information Systems,2003,
11082,North Carolina Wesleyan College,B.S. in Business Administration,2003,
11084,William Paterson University,Certificate,,
11084,Dover Business College,Certificate,,
11085,Saint Leo University,Bachelor's in Computer Information Systems,01/16,"Tampa, FL"
11085,Gulf Coast State College,A.A. in Business Administration,2016,"Panama City, FL"
11086,Jesse H. Jones School of Business,Master of Business Administration in Business Administration,05/01,
11086,McMurry University,Bachelor of Business Administration in Computer Information Systems,08/96,
11087,Worcester Polytechnic Institute,Certificate in Oracle Developer,01/03,"Worcester, MA"
11087,Saint John's High School,Diploma,09/81,"Shrewsbury, MA"
11088,Ozarks Technical College,Computer Systems and Networking,01/94,"Springfield, MO"
11088,Community College of the Air Force,Electrical Engineering Technology,12/81,"Maxwell AFB, AL"
11089,Western Governors University,Bachelor of Science in Information Technology,03/15,"Salt Lake City, UT"
11089,New Horizons Computer Learning Center,Certificate of Completion in SQL Server 2005 and 2008,09/09,"San Diego, CA"
11089,HL7 International,Certificate of completion in HL7 2.x and CDA,08/11,"San Diego, CA"
11090,"EWU - Vancouver, WA",Bachelor's in Applied Technology with emphasis in Data Network and Telecommunications,01/2005,"Vancouver, WA"
11091,The Ohio State University,Bachelor of Science in Public Health in Public Health,,
11092,University of Illinois at Chicago,Bachelor of Science degree in Finance,05/03,"Chicago, IL"
11092,"Liautaud Graduate School of Business, University of Illinois at Chicago",Master of Business Administration in MIS and Accounting,12/04,"Chicago, IL"
11093,Strayer University,Bachelor's in Computer Science,10/16,"Orlando, FL"
11093,ITT Technical Institute,Associate's in Network Systems Administration,03/14,"Phoenix, AZ"
11094,DURHAM TECHNICAL COMMUNITY COLLEGE,AAS in Clinical Trials,05/20,
11094,BARRY UNIVERSITY,Bachelor of Arts in Business Administration,,
11094,CARIBBEAN UNIVERSITY COLLEGE,Bachelor of Science in Biology,,
11095,BMS College of Engineering,"Bachelor of Engineering in Engineering, EE",09/90,"Bengaluru, Karnataka"
11096,Harrisburg Area Community College,ASSOCIATE IN APPLIED SCIENCE,09/01,"Lancaster, PA"
11097,Master's in Theology,Master's in Theology,,
11098,Bachelor of Science in 'Organizational Security and Management/Criminal Justice',Organizational Security and Management/Criminal Justice,,
11099,Walden University,Master of Science (MS) in General Management,,
11099,LeTourneau University,Bachelor of Science in (BS) Business Management,,
11099,Texas State Technical Institute,Associate of Applied Science (AAS) in Electronics,,
11100,Texas A&M University - Commerce,MS Accounting in Accounting,05/17,"Commerce, TX"
11100,Texas A&M University - Commerce,MS Management in Management,06/14,"Commerce, TX"
11100,Concordia University Texas,MBA,12/13,"Austin, TX"
11100,Concordia University Texas,BA in Business Accounting,12/11,"Austin, TX"
11101,George Mason University,B.S. in Applied Information Technology,2017,"Fairfax, VA"
11101,Northern Virginia Community College,A.S. in General Studies,2008,"Annandale, VA"
11102,Lewis Palmer High School,HS Diploma,05/2005,"Monument, CO"
11104,National Defense University (NDU) Information Resources Management College (IRMC),Information Assurance Certificate in Information Assurance,08/2005,"Washington, DC"
11104,Strayer University,Bachelor of Science in Information Systems Computer Security,,"Roswell, GA"
11104,Northern Virginia Community College,Associate of Science in Computer Information Systems/Programming,,"Woodbridge, VA"
11104,Dalton Regional Police Academy,,,"Dalton, GA"
11105,Siena Heights University,Bachelors Degree of Applied Science in Graphic Design Technology in Graphic Design,01/09,"Southfield, MI"
11105,Microsoft IT Academy,,,"Southfield, MI"
11106,Prince Institute,BA in Court Reporting,09/98,"Montgomery, AL"
11106,Bristol University,Degree /Business Admin in Business Admin,09/92,"Bristol, TN"
11106,Bo Goodson's School of Realty,License in Current Certificate,,"Detroit, MI"
11106,Bo Goodsons school of realty,Certification in Real Estate,,"Montgomery, AL"
11107,Sacred Heart University,Master of Science in Cybersecurity,08/16,"Fairfield, CT"
11107,Connecticut College,Bachelor's in Computer Science,09/99,"New London, CT"
11108,University of Phoenix,Advanced Software Development,03/17,"Honolulu, HI"
11108,Heald College,Associate in Computer Technology,,"Honolulu, HI"
11108,Monterey Peninsula University,,,"Schofield Barracks, HI"
11109,University of Alabama,BS in Commerce and Business Administration,05/87,"Tuscaloosa, AL"
11109,"Indiana University, Kelley School of Business",MBA in Supply Chain Management and Finance,08/04,"Bloomington - Indianapolis, IN"
11110,"Carlson School of Management, University of Minnesota",Masters of Business Administration in Business Administration,,
11110,"University of Wisconsin - River Falls, WI",Bachelor of Science in Business Administration,,
11110,"University of Wisconsin - River Falls, WI",Bachelor of Science in Physical Education,,
11112,PELLISSIPPI STATE COLLEGE,ASSOCIATES DEGREE OF APPLIED SCIENCE in Computer Science & Networking and Systems Administration,2014,
11112,HARRIMAN HIGH SCHOOL,HIGH SCHOOL DIPLOMA,05/2008,
11113,George Washington University,Project Mgmt Certification,,
11114,Western Governors University,B.S. in Information Technology,2013,
11114,Edmonds Community College,A.S. in Computer Information Systems,2011,
11115,ITT Technical Institute,AA,06/14,
11115,ITT Technical Institute,BS in Information Systems and Cybersecurity,,
11116,Ashwood University,Bachelor of Science in Telecommunications,09/1997,"Humble, TX"
11117,"Metropolitan State College Denver, CO and Colorado Women's College Denver",Project Management,,"Denver, CO"
11118,Great Bay Community College,Associates Degree,06/11,"Stratham, NH"
11119,American Military University,Master of Science in Environmental Management & Policy,09/10,"Manassas Park, VA"
11119,American Military University,Bachelor of Arts in Management,09/03,"Manassas Park, VA"
11120,Essex County College,Certificate,,"New York, NY"
11120,Community College of the Air Force,Certificate,,"Salt Lake City, UT"
11121,Ladoke Akintola University of Technology,B.Technology,2014/00,
11122,West Virginia University,B.S. in Business Administration,1992,
11122,George Washington University,Masters Certificate in IT Project Management,2000,
11123,Metropolitan University,B. A hons in Resort Management,,
11124,Cambridge College,Masters of Management Information Technology,1997,typically
11125,University of Phoenix,Certificate,2008,
11125,Computer Learning Center,,1989,"San Francisco, CA"
11125,Fisk University,,,"Nashville, TN"
11125,Indiana University,Design Program,,"Bloomington, IN"
11125,Otis College,,,
11126,Sacred Heart University,Associate's Degree in Accounting,09/95,"Fairfield, CT"
11127,Christopher Newport University,"Bachelor of Information Science in (BSIS), Management Information System",09/85,"Newport News, VA"
11128,Western Governors University,BS in Cloud and Systems Administration,02/17,Work at Home
11128,US Coast Guard Electronics School,Electrical Engineering,04/03,"Petaluma, CA"
11129,South University,MS in Information Systems in Systems and Technology,2011,
11129,Pasig Catholic College,Bachelor of Arts in Psychology,1999,
11130,Indiana University-Purdue University-Indianapolis,Bachelor of Science in Computer Science,05/17,"Indianapolis, IN"
11130,Indiana University-Purdue University-Indianapolis,Associate in Mathematics,05/17,"Indianapolis, IN"
11131,American River College,Security Certificate,12/16,
11131,"National University - Sacramento, CA",B.A. in English,10/06,"Sacramento, CA"
11132,University of Phoenix,Bachelor of Science in Information Technology,12/18,"Kapolei, HI"
11133,Washington & Lee High School,,,"Arlington, VA"
11134,Louisiana State University - Shreveport,MCP certification in Microsoft System Administration,09/2005,"Shreveport, LA"
11134,Northwest Louisiana Technical College,2 YR Vocational School Program Graduate in Network Systems Management,01/1990,"Shreveport, LA"
11134,Arapahoe Community College,None in Data Processing and Accounting,01/1990,"Littleton, CO"
11135,University of Maryland,Bachelor of Science in Computer Science,1991,
11135,George Mason University,Master's in Information Security,,
11136,UNIVERSITY OF PHOENIX,Bachelor of Science in Business Administration,11/93,"San Jose, CA"
11137,LeMoyne College,Integral Honors in Interdisciplinary,2001/01,
11138,American Military University,Bachelor of Science in Information Security,,
11138,Community College of the Air Force (CCAF),Associate Degree in Management Information Systems,,"Warner Robins, GA"
11139,University of education Winneba,Bachelor of Education in Mathematics,09/04,Winneba
11140,University of Cincinnati,Bachelor of Science in Information Technology,05/14,"Cincinnati, OH"
11140,Archbishop Moeller High School,High School Diploma,,
11141,University of Akron,"Bachelor of Science in (BS), Accounting",,"Akron, OH"
11141,University of Akron,"Bachelor of Arts in (BA), Psychology",,"Akron, OH"
11142,,,,
11143,University of Maryland University College,MSc. in Cyber security Policy and Management,2020/,
11143,University of Maryland University College,B.S. in HEALTH MANAGEMENT AND GERONTOLOGY,2016/,
11143,Southwest Minnesota State University,BIOLOGY AND PSYCHOLOGY,2002/,
11144,University of Maryland University College (UMUC),Masters of Science degree in Cyber Security Technology,2017,
11144,Prince George's Community College,Associates Degree in Computer Science,08/2017,"Largo, MD"
11144,University of Buea,Bachelor of Science degree in Information Technology,10/2006,
11145,National Defense University,,07/12,
11145,University of Baltimore,MS in MIS,1995,
11145,University of Baltimore,Bachelor's Degree in MIS,1992,
11145,Community College of Baltimore,AA Degree in Computer Science,1985,
11146,University of South Carolina,Master's in Business Administration (MBA),,"Columbia, SC"
11146,Tulane University,Bachelor of Arts in Political Science & Economics,,"New Orleans, LA"
11147,ICM School of Business,AA in Specialized Business Systems,1985/01,"Pittsburgh, PA"
11147,DP 'A' School,,1986/01,"San Diego, CA"
11148,Musicians Institute,Bachelor's in Audio Engineering / Acoustics,03/2002,"Los Angeles, CA"
11148,North Park University,Art/ Animation,,"Chicago, IL"
11149,,,,
11150,LINCOLN TECHNICAL INSTITUTE,,10/14,"Moorestown, NJ"
11151,University of Maryland University College,B.S. in Computer and Information Science,2012,"Adelphi, MD"
11151,University of Maryland University College,A.A. in Management,2008,"Adelphi, MD"
11152,University of Maryland University College,BS in Cybersecurity,12/10,"Largo, MD"
11152,Strayer University-District of Columbia,AA in Computer Information Systems,08/97,"Washington, DC"
11153,Cabrillo High School,,02/99,"Lompoc, CA"
